index,ocn,name,brand
216,579F,"PEERLESS NETWORK OF ARIZONA, LLC - AZ",
217,947E,"GILA LOCAL EXCHANGE CARRIER, INC. - AZ",
218,2226,"MIDVALE TELEPHONE EXCHANGE, INC.",
219,969J,"GLOBAL NET COMMUNICATIONS, INC.",
220,7465,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - AZ,
221,2179,"GILA RIVER TELECOMM, INC.",
222,8293,NORTH COUNTY COMMUNICATIONS CORPORATION,
223,2173,TOHONO O'ODHAM UTILITY AUTHORITY,
224,3334,TABLE TOP TELEPHONE COMPANY,
225,4793,"XO ARIZONA, INC.",
226,5727,"FIRSTDIGITAL TELECOM, LLC - UT",
227,2176,VALLEY TEL COOP INC,
228,907K,ALLO COMMUNICATIONS LLC,
229,183D,"VALLEY CONNECTIONS, L.L.C. - AZ",
230,410H,"WIDE VOICE, LLC - AZ",
231,616J,"LEAP TELECOM, LLC",
232,890G,"INTRADO COMMUNICATIONS, LLC",
233,2171,ARIZONA TEL. CO.,
234,663G,"RE-INVENT TELECOM, LLC - AZ",
235,181J,"ADVANCED TELECOM SOLUTIONS, LLC",
236,4146,SMITH BAGLEY INC. DBA CELLULAR ONE OF NE ARIZONA,
237,2172,CITIZENS UTILITIES RURAL DBA FRONTIER UT RURAL,
238,4449,NAVAJO COMM CO INC - AZ DBA FRONTIER NAVAJO COM,
239,2200,FORT MOJAVE TELECOM INC,
240,4426,CITIZENS TELECOM CO OF WHITE MOUNTAINS INC.,
241,2356,"RIO VIRGIN TEL. CO., INC.",
242,5736,"COMMNET WIRELESS, LLC",
243,2169,"SAN CARLOS APACHE TELECOMMUNICATIONS UTILITY, INC.",
244,2191,ACCIPITER COMMUNICATIONS INC,
245,2286,"SOUTH CENTRAL UTAH TEL. ASSN., INC.",
246,4419,FRONTIER COMMUNICATIONS OF THE SOUTHWEST INC. - AZ,
247,815D,HOPI TELECOMMUNICATIONS INCORPORATED - AZ,
