index,ocn,name,brand
126,,"GRUPO HIDALGUENSE DE DESARROLLO, S.A. DE C.V.",
127,,"TELE FACIL MEXICO, S.A. DE C.V.",
128,,"TELECOMM ATLAS, S.A. DE C.V.",
129,,"QUICKLY PHONE, S.A. DE C.V.",
130,,"NEUS MOBILE, S.A.P.I. DE C.V.",
131,,"KIWI NETWORKS, S.A.P.I. DE C.V.",
132,,"EJA TELECOMM, S. DE R.L.",
133,,"QUALTEL, S.A. DE C.V.",
134,,"BUENAS NOTICIAS, S.A. DE C.V.",
135,,"ALTATA TELECOMUNICACIONES DE MEXICO, S.A.P.I. DE C.V.",
136,,"SIERRA MADRE INTERNET, S.A. DE C.V.",
137,,"SERVICIOS TRONCALIZADOS, S.A. DE C.V.",
138,,"LANTOINTERNET, S.A. DE C.V.",
